country_name,country_code,year,unemployment_rate,youth_unemployment,employment_ratio,gdp,gdp_per_capita,gdp_per_capita_ppp,inflation,government_debt,foreign_direct_investment,trade_percent_gdp,education_spending,school_enrollment,opportunity_index,opportunity_rank
Singapore,SGP,2019,3.1,7.63,66.847,376901649222.451,66081.7199235165,119572.277084107,0.565260568780326,127.826745717478,28.0949935764636,323.070429953395,2.72951006889343,91.0889892578125,90.7354218293659,5
Singapore,SGP,2020,4.1,10.557,65.895,349488382610.662,61466.803676358,115304.149458638,-0.181916666666634,151.566324742808,23.1003005183608,331.690521725461,2.6869900226593,93.1347732543945,85.709574999999987,6
Singapore,SGP,2022,3.591,7.924,67.23,498474540987.78,88428.7024226232,132468.930252646,6.12106004039418,,29.8437975950876,332.981369857911,2.48891997337341,98.0222320556641,85.88405,6
Singapore,SGP,2023,3.444,8.461,66.984,501427500080.059,84734.2559206054,127543.55475211,4.82146729476466,,34.9485153079274,311.240333622308,2.18787837028503,,80.9502,14
Singapore,SGP,2021,4.64,9.499,67.406,434111559282.849,79601.4129622433,131864.092335522,2.30485959040484,150.141912840552,31.6207400179128,329.78497877736,2.82470989227295,97.0989074707031,84.720542122878555,9
Singapore,SGP,2018,3.613,8.437,66.103,376892697588.005,66840.6373389791,119343.145527918,0.43862011844684,110.757602622235,21.7592915016982,326.723360427186,2.85660004615784,88.8864517211914,85.742563964465944,9
Iraq,IRQ,2019,14.109,29.576,35.633,233636097800.338,5671.8568632942,14910.2250318827,-0.198965380023928,,-1.31640616709339,68.9899384202806,,,55.95095,214
Iraq,IRQ,2020,15.778,34.823,33.44,180898797516.874,4295.18945121228,12827.6345392293,0.574162679425795,,-1.58049696252586,57.742316395146,,,65.3999,210
Iraq,IRQ,2022,15.511,32.069,34.79,286640340965.517,6504.12428393548,13393.6749428104,4.99476596381044,,-0.728508762223113,68.9343588951008,,,67.52005,190
Iraq,IRQ,2023,15.447,31.97,34.844,250842782139.464,5565.12644647176,12711.0616746745,4.35835351089586,,-2.13819188029018,,,,67.54885,189
